id	crypto_name	price	price_category	price_change	timestamp	created_at
62	chainlink	8.89	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.2500000
63	cosmos	1.73	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.2730000
64	dogecoin	0.09	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.2930000
65	ethereum	2227.76	High	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.3170000
66	filecoin	0.87	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.3400000
67	litecoin	53.16	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.3600000
68	monero	345.27	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.3830000
69	polkadot	1.17	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.4070000
70	ripple	1.34	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.4270000
71	solana	83.40	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.4500000
72	stellar	0.15	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.4730000
73	tezos	0.34	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.4930000
74	theta-token	0.18	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.5170000
75	tron	0.32	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.5370000
76	uniswap	3.13	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.5600000
77	vechain	0.01	Low	Stable	2026-04-13T16:39:44.8900000	2026-04-13T16:39:45.5800000
78	avalanche-2	9.28	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.1400000
79	bitcoin	72288.00	High	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.1670000
80	cardano	0.24	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.1900000
81	chainlink	8.89	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.2130000
82	cosmos	1.73	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.2370000
83	dogecoin	0.09	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.2600000
84	ethereum	2227.75	High	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.2870000
85	filecoin	0.87	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.3100000
86	litecoin	53.16	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.3330000
87	monero	345.17	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.3600000
88	polkadot	1.17	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.3830000
89	ripple	1.34	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.4070000
90	solana	83.38	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.4300000
91	stellar	0.15	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.4570000
92	tezos	0.34	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.4800000
93	theta-token	0.18	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.5030000
94	tron	0.32	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.5270000
95	uniswap	3.13	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.5500000
96	vechain	0.01	Low	Stable	2026-04-13T16:40:45.8200000	2026-04-13T16:40:46.5770000
97	avalanche-2	9.28	Low	Stable	2026-04-13T16:42:49.9570000	2026-04-13T16:42:50.3900000
98	bitcoin	72311.00	High	Stable	2026-04-13T16:42:49.9570000	2026-04-13T16:42:50.4130000
99	cardano	0.24	Low	Stable	2026-04-13T16:42:49.9570000	2026-04-13T16:42:50.4400000
100	chainlink	8.89	Low	Stable	2026-04-13T16:42:49.9570000	2026-04-13T16:42:50.4630000
